project_id,company_id,project_name,start_date,completion_date,project_status,automation_type,robots_deployed,budget_usd,annual_savings_usd,roi_percent,department,implementation_partner,country,industry,employee_hours_saved,ai_enabled,cloud_deployment
PRJ000040,CMP02469,Intelligent Hyperautomation,2025-08-18,2025-11-14,Completed,Back Office Automation,26,140530,395170,281.2,Audit,NTT Data,India,Banking & Financial Services,67037,Yes,Yes
PRJ000041,CMP04145,Unified Digital Workforce,2019-05-18,2019-08-13,Completed,Compliance Monitoring,15,139398,86705,62.2,Treasury,WNS Global Services,India,Media & Entertainment,13384,Yes,Yes
PRJ000042,CMP01201,Phantom Efficiency Enhancement,2019-01-22,,Active,Email Automation,26,21011,105055,500.0,Human Resources,Infosys,Netherlands,Construction & Engineering,121082,No,Yes
PRJ000043,CMP01142,Accelerated Task Automation,2020-05-16,2021-04-18,Completed,Customer Support Automation,4,81863,95370,116.5,Sales & Marketing,Virtusa,Germany,Education,6790,No,Yes
PRJ000044,CMP02465,Nexus Intelligent Automation,2024-12-07,2027-06-18,Planned,Data Extraction & Migration,42,1733275,1644877,94.9,Report Generation,Infosys,India,Transportation & Logistics,97795,No,Yes
PRJ000045,CMP00051,Smart Process Mining,2024-02-29,2027-11-27,Planned,Contract Analysis,29,82827,139646,168.6,Data Management,NTT Data,United Kingdom,Aerospace & Defense,102136,Yes,No
PRJ000046,CMP00323,Comprehensive Bot Operations,2021-01-24,2024-09-19,Planned,Data Extraction & Migration,21,94286,119931,127.2,Healthcare Administration,Capgemini,Germany,Education,52704,Yes,Yes
PRJ000047,CMP03795,Forge Process Automation,2022-04-01,2025-02-26,Planned,Report Generation,24,179663,344234,191.6,Finance & Accounting,SAP Consulting,United States,Insurance,12399,No,No
PRJ000048,CMP03399,Automated Automation Platform,2017-08-08,2028-05-12,Planned,Front Office Automation,8,227170,720128,317.0,Data Entry,SAP Consulting,Portugal,Healthcare & Pharmaceuticals,43233,No,Yes
PRJ000049,CMP04838,Titan Intelligent Automation,2022-09-05,,Active,Data Validation,21,423675,435961,102.9,Data Management,KPMG,Philippines,Oil & Gas,50475,No,No
PRJ000050,CMP03562,Next-Gen Process Reengineering,2016-02-02,,Active,Back Office Automation,13,127231,348612,274.0,IT & Technology,KPIT Technologies,United Kingdom,Mining & Metals,38583,Yes,No
PRJ000051,CMP00162,Robust Intelligent Automation,2023-08-03,2024-08-05,Completed,Report Generation,48,43568,49841,114.4,Quality Assurance,PwC,Japan,Healthcare & Pharmaceuticals,17116,Yes,Yes
PRJ000052,CMP03107,Nova Process Automation,2025-06-03,,Active,IT Helpdesk,23,236688,310534,131.2,KYC & AML Compliance,Oracle Consulting,South Korea,Manufacturing,35656,No,Yes
PRJ000053,CMP00992,Enterprise Process Mining,2017-11-11,2020-05-08,Planned,Financial Reconciliation,30,78750,93870,119.2,Legal & Compliance,Tata Consultancy Services,Singapore,Real Estate,63441,No,Yes
PRJ000054,CMP01309,Nexus Automation Initiative,2019-06-06,,Active,Report Generation,18,135515,500727,369.5,Facilities Management,Boston Consulting Group,Sweden,Oil & Gas,130294,Yes,No
PRJ000055,CMP01740,Sentinel Task Automation,2016-12-31,2018-04-09,Completed,Order Processing,42,154565,772825,500.0,Facilities Management,Tata Consultancy Services,Japan,Agriculture & Food Processing,343947,No,Yes
PRJ000056,CMP01938,Nexus Workflow Automation,2018-11-04,2019-12-05,Completed,Claims Processing,26,62954,314770,500.0,Data Entry,Cyient,United Kingdom,Retail & E-Commerce,259722,Yes,Yes
PRJ000057,CMP02621,Global Process Automation,2024-07-05,2025-01-23,Completed,Data Validation,40,39495,61098,154.7,Product Management,Maveric Systems,Morocco,Retail & E-Commerce,39567,Yes,No
PRJ000058,CMP04421,Scalable Workforce Digitization,2025-12-05,2026-05-25,Completed,Order Processing,31,830551,3465889,417.3,Human Resources,PwC,South Africa,Telecommunications,101553,Yes,No
PRJ000059,CMP02146,Optimized Efficiency Enhancement,2019-06-03,2020-05-23,Completed,Invoice Processing,6,51702,52425,101.4,Supply Chain & Procurement,HCL Technologies,Japan,Manufacturing,3536,Yes,Yes
PRJ000060,CMP02124,Digital Hyperautomation,2021-07-13,2023-02-23,Completed,Report Generation,16,23960,10302,43.0,Report Generation,WNS Global Services,Spain,Agriculture & Food Processing,8077,No,Yes
PRJ000061,CMP01356,Next-Gen Automation Initiative,2015-12-02,,Active,Report Generation,50,128446,171346,133.4,IT & Technology,Mphasis,Poland,Oil & Gas,104047,No,Yes
PRJ000062,CMP04276,Streamlined Bot Operations,2020-01-24,2021-03-20,Planned,Claims Processing,50,408158,335914,82.3,Claims Processing,Boston Consulting Group,United States,Technology & IT Services,43177,Yes,Yes
PRJ000063,CMP03119,Nova Smart Operations,2023-06-08,2024-07-22,Completed,HR Onboarding,49,234143,193636,82.7,Quality Assurance,McKinsey & Company,Canada,Mining & Metals,36151,No,Yes
PRJ000064,CMP02302,Smart Workflow Automation,2024-09-04,2025-01-25,Planned,Email Automation,14,30462,55958,183.7,Risk Management,Infosys,United States,Aerospace & Defense,23840,No,Yes
PRJ000065,CMP02567,Titan Digital Transformation,2020-09-15,,Active,Fraud Detection,48,637282,375996,59.0,Finance & Accounting,Compunnel,China,Chemical & Materials,36424,No,No
PRJ000066,CMP01702,Quantum Process Mining,2025-02-13,2026-04-15,Completed,Data Extraction & Migration,12,293010,1465050,500.0,Claims Processing,Virtusa,Switzerland,FMCG & Consumer Goods,98840,Yes,Yes
PRJ000067,CMP02319,Hyper Bot Operations,2015-04-26,2016-06-14,Completed,Invoice Processing,11,107253,61884,57.7,Sales & Marketing,Aricent,South Korea,Automotive,7812,No,Yes
PRJ000068,CMP04588,Forge RPA Deployment,2018-05-18,,Active,Back Office Automation,16,641179,1063074,165.8,Procurement,Virtusa,Japan,Oil & Gas,30133,No,Yes
PRJ000069,CMP01548,Agile Bot Operations,2019-12-10,2025-02-01,Planned,Front Office Automation,35,92275,208264,225.7,Operations,Aricent,Vietnam,Real Estate,97711,No,No
PRJ000070,CMP03134,Advanced Workforce Digitization,2019-10-03,2020-04-13,Completed,Customer Support Automation,2,46711,69412,148.6,IT & Technology,HCL Technologies,United Kingdom,Education,1874,Yes,No
PRJ000071,CMP04122,Nexus Process Mining,2021-11-24,2023-10-13,Completed,Supply Chain Optimization,33,21987,16578,75.4,Fraud Detection,Aricent,India,Healthcare & Pharmaceuticals,12814,No,Yes
PRJ000072,CMP00152,Seamless Automation Platform,2023-06-28,,Active,Process Automation,17,98027,104104,106.2,Legal & Compliance,EY,United States,Legal Services,18073,Yes,Yes
PRJ000073,CMP04462,Horizon Automation Platform,2023-10-11,2028-12-29,Planned,Payroll Automation,12,69411,52335,75.4,Legal & Compliance,Oracle Consulting,Singapore,Aerospace & Defense,6093,Yes,Yes
PRJ000074,CMP00774,Robust Process Automation,2023-04-25,2023-12-13,Completed,Data Validation,6,74286,57794,77.8,Risk Management,Capgemini,Colombia,Technology & IT Services,2218,Yes,Yes
PRJ000075,CMP04767,Robust Process Automation,2017-04-12,2017-08-15,Completed,Order Processing,24,40996,59608,145.4,Report Generation,Deloitte,Qatar,FMCG & Consumer Goods,14605,Yes,Yes
PRJ000076,CMP03285,Smart RPA Deployment,2016-03-21,,Active,Document Processing,9,43269,58240,134.6,Invoice Processing,Zensar Technologies,United Kingdom,Construction & Engineering,6925,Yes,Yes
PRJ000077,CMP03929,Atlas Bot Operations,2019-02-13,,Active,Email Automation,18,156840,170798,108.9,Supply Chain & Procurement,Compunnel,Sweden,Mining & Metals,27965,Yes,Yes
PRJ000078,CMP01072,Nexus Automation Platform,2023-03-23,2024-01-22,Completed,IT Helpdesk,13,88354,168402,190.6,Claims Processing,Hitachi Consulting,Spain,Insurance,19784,No,Yes
PRJ000079,CMP02240,Global Hyperautomation,2021-02-14,2022-06-21,Completed,Financial Reconciliation,33,36371,111113,305.5,KYC & AML Compliance,HPE,Germany,Mining & Metals,147236,No,No
PRJ000080,CMP02968,Strategic Digital Transformation,2020-09-26,,Active,Data Validation,2,70015,98231,140.3,Data Management,Cyient,United Arab Emirates,Education,5926,No,No
PRJ000081,CMP04668,Accelerated Cognitive Automation,2018-03-06,,Active,Invoice Processing,7,110607,222209,200.9,Content Moderation,DXC Technology,Portugal,Banking & Financial Services,13265,No,No
PRJ000082,CMP01952,Automated Workflow Automation,2015-08-24,,Active,Quality Control,19,86976,146554,168.5,Audit,Zensar Technologies,United States,Automotive,70424,No,Yes
PRJ000083,CMP04159,Unified Smart Operations,2015-06-20,2028-05-23,Planned,Payroll Automation,6,361194,518313,143.5,Facilities Management,PwC,Australia,Construction & Engineering,10272,Yes,Yes
PRJ000084,CMP01973,Quantum Intelligent Automation,2022-12-13,,Active,Back Office Automation,44,78667,224830,285.8,Tax,SAP Consulting,Japan,Insurance,290501,Yes,Yes
PRJ000085,CMP00079,Hyper End-to-End Automation,2021-08-03,,Active,Back Office Automation,6,168766,212307,125.8,IT & Technology,IBM Consulting,Canada,Retail & E-Commerce,12101,Yes,No
PRJ000086,CMP03944,Automated End-to-End Automation,2023-03-16,2023-05-01,Planned,Order Processing,50,41481,46873,113.0,Order Processing,Hitachi Consulting,Brazil,Education,71140,No,Yes
PRJ000087,CMP01980,Enterprise Hyperautomation,2019-04-18,2024-05-01,Planned,Compliance Monitoring,19,71915,209919,291.9,Payroll,Virtusa,United Kingdom,Oil & Gas,44101,No,Yes
PRJ000088,CMP04100,Horizon Workforce Digitization,2022-10-25,,Active,Regulatory Reporting,50,15010,34492,229.8,Quality Assurance,Hexaware Technologies,Czech Republic,Healthcare & Pharmaceuticals,198260,Yes,Yes
PRJ000089,CMP02749,Atlas Process Automation,2023-08-12,2024-08-02,Completed,Contract Analysis,5,327043,239395,73.2,Research & Development,Aricent,Canada,Banking & Financial Services,4886,No,Yes
PRJ000090,CMP01807,Accelerated Smart Operations,2020-02-23,2021-03-19,Completed,Quality Control,3,198236,217068,109.5,Customer Service,Teleperformance,France,Manufacturing,6508,No,No
PRJ000091,CMP02550,Intelligent End-to-End Automation,2017-10-08,,Active,Contract Analysis,14,111318,192246,172.7,Tax,Cyient,India,Banking & Financial Services,19691,Yes,Yes
PRJ000092,CMP04065,Agile Digital Workforce,2024-08-13,2027-04-14,Planned,Quality Control,47,48609,62462,128.5,Healthcare Administration,PwC,Israel,Mining & Metals,46071,Yes,Yes
PRJ000093,CMP02656,Intelligent Automation Platform,2024-02-04,2025-03-10,Completed,IT Helpdesk,9,399646,578687,144.8,Human Resources,WNS Global Services,Taiwan,FMCG & Consumer Goods,15179,No,Yes
PRJ000094,CMP04078,Atlas Efficiency Enhancement,2023-02-20,,Active,Data Extraction & Migration,3,219099,146577,66.9,Risk Management,Accenture,China,Chemical & Materials,3728,Yes,Yes
PRJ000095,CMP02006,Nexus Process Optimization,2020-04-25,2021-05-08,Completed,Fraud Detection,15,123457,354445,287.1,Facilities Management,Accenture,Peru,Manufacturing,90379,Yes,No
PRJ000096,CMP03756,Agile Process Optimization,2024-02-25,2027-10-11,Planned,Supply Chain Optimization,31,16805,79806,474.9,Report Generation,Boston Consulting Group,Japan,Nonprofit & NGO,185248,Yes,Yes
PRJ000097,CMP01554,Forge Intelligent Automation,2025-10-08,2026-02-04,Completed,Invoice Processing,4,31485,42032,133.5,Product Management,Infosys,Brazil,Professional Services & Consulting,5501,No,Yes
PRJ000098,CMP01881,Horizon RPA Deployment,2024-10-25,2025-12-12,Completed,Lead Generation,30,32558,130850,401.9,Risk Management,KPIT Technologies,Ecuador,Oil & Gas,134018,Yes,No
PRJ000099,CMP04516,Nova Task Automation,2018-10-26,,Active,Payroll Automation,29,106805,90997,85.2,Quality Assurance,HCL Technologies,Colombia,Government & Public Sector,25483,Yes,Yes
PRJ000100,CMP04295,Digital Process Optimization,2017-05-01,,Active,Payroll Automation,30,29554,34430,116.5,Supply Chain & Procurement,Hitachi Consulting,Canada,Automotive,13894,No,No
PRJ000101,CMP03422,Enterprise Digital Transformation,2021-06-11,2023-03-15,Completed,Lead Generation,33,27376,24501,89.5,Product Management,Genpact,Vietnam,Media & Entertainment,71892,Yes,Yes
PRJ000102,CMP02828,Vanguard Process Optimization,2024-09-12,2025-03-09,Completed,Data Validation,45,71595,198532,277.3,Report Generation,EY,Rwanda,Retail & E-Commerce,237348,Yes,No
PRJ000103,CMP02328,Comprehensive End-to-End Automation,2017-03-07,2019-01-20,Completed,Report Generation,8,402141,1372909,341.4,Finance & Accounting,Hitachi Consulting,United Arab Emirates,Education,62019,Yes,Yes
PRJ000104,CMP02925,Sentinel Automation Initiative,2017-04-24,2019-04-10,Completed,Regulatory Reporting,11,815127,793933,97.4,Procurement,Tech Mahindra,Canada,Construction & Engineering,14523,Yes,No
PRJ000105,CMP04857,Comprehensive Bot Operations,2016-04-08,,Active,Customer Onboarding,30,35993,33689,93.6,Quality Assurance,Birlasoft,Germany,Real Estate,12849,Yes,Yes
PRJ000106,CMP03523,Nexus Cognitive Automation,2025-11-02,,Active,Supply Chain Optimization,2,65883,51981,78.9,Research & Development,LTI Mindtree,United States,Healthcare & Pharmaceuticals,759,Yes,No
PRJ000107,CMP04861,Digital Intelligent Automation,2024-05-24,2026-05-13,Completed,Document Processing,32,636260,1235616,194.2,Customer Onboarding,Mphasis,South Africa,Automotive,19986,No,Yes
PRJ000108,CMP03840,Quantum RPA Deployment,2024-08-26,,Active,Back Office Automation,20,73514,126885,172.6,Invoice Processing,Capgemini,United States,Energy & Utilities,69250,Yes,Yes
PRJ000109,CMP00413,Enterprise Digital Transformation,2020-10-31,,Active,Order Processing,16,51029,86341,169.2,Product Management,Bain & Company,United States,Government & Public Sector,33539,No,No
PRJ000110,CMP01182,Atlas Process Reengineering,2017-09-27,2018-03-28,Completed,Financial Reconciliation,43,127429,433895,340.5,Operations,Tech Mahindra,Bahrain,Media & Entertainment,156766,Yes,No
PRJ000111,CMP04006,Comprehensive Process Automation,2022-05-21,2022-10-19,Completed,Customer Onboarding,25,25395,38143,150.2,Content Moderation,Capgemini,Norway,Insurance,66600,No,No
PRJ000112,CMP03515,End-to-End Process Mining,2015-08-22,,Active,HR Onboarding,23,51347,203180,395.7,IT & Technology,KPIT Technologies,Brazil,Real Estate,222454,Yes,Yes
PRJ000113,CMP03505,Apex Task Automation,2019-11-20,2020-02-22,Completed,Quality Control,17,48274,43543,90.2,Customer Service,SAP Consulting,India,Technology & IT Services,13357,Yes,No
PRJ000114,CMP00336,Agile Workforce Digitization,2016-02-04,2017-07-08,Planned,IT Helpdesk,20,171020,227627,133.1,Order Processing,Boston Consulting Group,India,Agriculture & Food Processing,37122,Yes,Yes
PRJ000115,CMP03403,Phantom Operational Excellence,2017-07-23,2018-10-06,Completed,IT Helpdesk,38,119685,172107,143.8,Finance & Accounting,Mphasis,United Kingdom,Legal Services,111701,No,Yes
PRJ000116,CMP00975,Hyper RPA Deployment,2019-01-04,2019-04-15,Completed,Order Processing,25,76060,48754,64.1,Content Moderation,Boston Consulting Group,Germany,Professional Services & Consulting,30890,Yes,Yes
PRJ000117,CMP03855,Vanguard Digital Workforce,2016-04-05,2016-06-28,Completed,Customer Onboarding,35,54682,26739,48.9,Sales & Marketing,Virtusa,United States,Chemical & Materials,10731,No,Yes
PRJ000118,CMP04146,Agile Process Mining,2023-08-12,2025-10-04,Planned,IT Helpdesk,21,96427,263534,273.3,Invoice Processing,Boston Consulting Group,Italy,Healthcare & Pharmaceuticals,19030,Yes,Yes
PRJ000119,CMP01102,Nexus Efficiency Enhancement,2016-02-22,2018-01-04,Planned,Customer Onboarding,34,89768,130791,145.7,Report Generation,Oracle Consulting,Romania,FMCG & Consumer Goods,27806,Yes,No
PRJ000120,CMP03738,Smart Process Automation,2018-10-09,2023-05-17,Planned,Quality Control,50,44472,65863,148.1,Data Management,NTT Data,United Arab Emirates,Insurance,34041,Yes,Yes
PRJ000121,CMP00198,Forge Process Mining,2020-07-02,2023-01-27,Planned,Document Processing,40,200577,278601,138.9,Risk Management,Bain & Company,United States,Construction & Engineering,78712,No,Yes
PRJ000122,CMP03183,Next-Gen Workforce Digitization,2023-09-13,,Active,Payroll Automation,25,53243,47066,88.4,Supply Chain & Procurement,EY,United Kingdom,Hospitality & Travel,54905,No,Yes
PRJ000123,CMP04577,Next-Gen Intelligent Automation,2023-09-13,2025-02-14,Completed,Fraud Detection,44,366152,630147,172.1,Quality Assurance,Wipro,United Kingdom,Agriculture & Food Processing,19947,No,Yes
PRJ000124,CMP01137,Vanguard Digital Transformation,2015-07-12,2016-03-22,Completed,Data Validation,40,56685,93813,165.5,Claims Processing,Accenture,India,Hospitality & Travel,75716,Yes,Yes
PRJ000125,CMP00371,Strategic Automation Initiative,2023-07-02,2027-08-31,Planned,Lead Generation,38,208408,218619,104.9,Facilities Management,Cognizant,China,Banking & Financial Services,70953,Yes,Yes
PRJ000126,CMP02184,Optimized Process Optimization,2016-06-15,2021-03-07,Planned,Front Office Automation,31,152663,335705,219.9,Content Moderation,Hitachi Consulting,United Kingdom,Real Estate,158066,Yes,Yes
PRJ000127,CMP01945,Phantom Efficiency Enhancement,2021-07-13,2022-12-24,Completed,Customer Onboarding,33,39307,65446,166.5,Procurement,Compunnel,Germany,Healthcare & Pharmaceuticals,73447,No,No
PRJ000128,CMP04114,Nexus End-to-End Automation,2015-10-24,2017-09-04,Completed,Order Processing,26,126837,299969,236.5,Order Processing,Bain & Company,United Kingdom,Nonprofit & NGO,122049,No,Yes
PRJ000129,CMP01217,Accelerated Intelligent Automation,2025-01-03,2026-02-03,Completed,Process Automation,10,151324,530995,350.9,Healthcare Administration,HCL Technologies,Ireland,Professional Services & Consulting,39067,Yes,Yes
PRJ000130,CMP04060,Scalable Process Mining,2017-09-24,2018-08-29,Completed,Order Processing,28,15833,65991,416.8,Legal & Compliance,Fujitsu,United States,FMCG & Consumer Goods,183286,Yes,Yes
PRJ000131,CMP04904,Global Efficiency Enhancement,2021-02-08,,Active,Contract Analysis,22,170850,693821,406.1,Facilities Management,NTT Data,Indonesia,Banking & Financial Services,104252,No,Yes
PRJ000132,CMP01928,Smart End-to-End Automation,2015-09-21,2017-06-29,Completed,Order Processing,25,160883,164744,102.4,Order Processing,Oracle Consulting,United Kingdom,Education,57464,Yes,Yes
PRJ000133,CMP01008,Advanced End-to-End Automation,2015-04-26,2017-02-07,Completed,Back Office Automation,11,393097,527536,134.2,Legal & Compliance,KPIT Technologies,Brazil,Chemical & Materials,35979,Yes,Yes
PRJ000134,CMP02082,Agile Intelligent Workflow,2018-06-02,2019-05-13,Completed,Back Office Automation,34,38767,82030,211.6,Invoice Processing,Virtusa,Australia,Media & Entertainment,23407,Yes,Yes
PRJ000135,CMP00800,Streamlined Cognitive Automation,2022-06-17,2023-05-25,Planned,Order Processing,27,308347,406709,131.9,IT & Technology,EY,Austria,Manufacturing,66991,Yes,Yes
PRJ000136,CMP00018,Global Smart Operations,2022-06-14,2023-12-23,Completed,Document Processing,33,132664,158798,119.7,Healthcare Administration,Wipro,Japan,Retail & E-Commerce,38791,No,Yes
PRJ000137,CMP00712,Next-Gen Process Automation,2019-12-10,2020-08-11,Completed,Supply Chain Optimization,23,186899,297917,159.4,Invoice Processing,Virtusa,Canada,Agriculture & Food Processing,84908,No,Yes
PRJ000138,CMP03069,Apex Efficiency Enhancement,2015-09-20,,Active,Quality Control,26,38332,191660,500.0,Research & Development,Cyient,United Kingdom,Real Estate,232713,Yes,Yes
PRJ000139,CMP01636,Forge Process Optimization,2024-06-26,2025-02-18,Completed,Inventory Management,12,164549,231520,140.7,Legal & Compliance,Hexaware Technologies,India,Mining & Metals,8922,No,Yes
PRJ000140,CMP02504,Apex Process Optimization,2016-11-13,2018-02-18,Planned,HR Onboarding,48,115923,106417,91.8,Risk Management,PwC,Mexico,Transportation & Logistics,64952,Yes,Yes
